"Date","Price","Open","High","Low","Change %"
"Oct 31, 2018","3,219.51","3,208.38","3,230.47","3,207.24","0.39%"
"Oct 30, 2018","3,207.00","3,188.00","3,217.00","3,183.56","0.63%"
"Oct 29, 2018","3,187.00","3,179.00","3,203.00","3,175.00","0.19%"
"Oct 26, 2018","3,181.00","3,171.50","3,199.50","3,166.08","0.32%"
"Oct 25, 2018","3,171.00","3,165.00","3,182.00","3,151.00","0.16%"
"Oct 24, 2018","3,166.00","3,119.00","3,170.00","3,110.00","1.44%"
"Oct 23, 2018","3,121.00","3,086.30","3,123.80","3,084.22","1.12%"
"Oct 22, 2018","3,086.30","3,079.05","3,097.05","3,076.50","0.24%"
"Oct 19, 2018","3,079.05","3,093.00","3,095.00","3,072.52","-0.42%"
"Oct 18, 2018","3,092.00","3,067.11","3,096.00","3,064.84","0.81%"
"Oct 17, 2018","3,067.11","3,051.25","3,069.50","3,045.51","0.50%"
"Oct 16, 2018","3,052.00","3,091.75","3,096.00","3,049.87","-1.38%"
"Oct 15, 2018","3,094.57","3,097.36","3,097.95","3,088.36","-0.08%"
"Oct 12, 2018","3,097.00","3,091.40","3,106.80","3,071.00","0.21%"
"Oct 11, 2018","3,090.65","3,095.00","3,099.75","3,078.38","-0.11%"
"Oct 10, 2018","3,094.00","3,059.42","3,099.00","3,058.00","1.10%"
"Oct 09, 2018","3,060.39","3,043.68","3,063.80","3,036.36","0.46%"
"Oct 08, 2018","3,046.38","3,032.75","3,049.28","3,030.50","0.45%"
"Oct 05, 2018","3,032.75","3,035.15","3,044.70","3,021.49","-0.07%"
"Oct 04, 2018","3,034.78","3,016.72","3,040.72","3,015.72","0.62%"
"Oct 03, 2018","3,016.00","3,016.30","3,018.80","3,004.55","-0.08%"
"Oct 02, 2018","3,018.30","3,000.00","3,022.00","2,992.00","0.61%"
"Oct 01, 2018","3,000.00","2,962.80","3,006.00","2,962.80","1.26%"
"Sep 28, 2018","2,962.80","2,986.80","2,988.55","2,960.11","-0.79%"
"Sep 27, 2018","2,986.53","2,998.03","3,000.47","2,979.28","-0.44%"
"Sep 26, 2018","2,999.80","3,001.25","3,012.25","2,994.45","-0.08%"
"Sep 25, 2018","3,002.20","2,999.69","3,010.20","2,990.85","-0.01%"
"Sep 24, 2018","3,002.49","2,997.00","3,002.49","2,982.81","0.12%"
"Sep 21, 2018","2,999.00","3,006.00","3,016.00","2,998.00","-0.22%"
"Sep 20, 2018","3,005.50","3,027.95","3,030.70","3,002.19","-0.82%"
"Sep 19, 2018","3,030.45","3,015.40","3,041.00","3,002.86","0.53%"
"Sep 18, 2018","3,014.40","3,018.58","3,020.20","2,995.88","-0.16%"
"Sep 17, 2018","3,019.20","3,022.88","3,024.62","3,007.88","-0.11%"
"Sep 14, 2018","3,022.50","3,017.25","3,035.05","3,015.03","0.20%"
"Sep 13, 2018","3,016.36","3,044.30","3,045.09","3,009.74","-0.96%"
"Sep 12, 2018","3,045.75","3,081.70","3,083.20","3,042.28","-1.17%"
"Sep 11, 2018","3,081.90","3,088.80","3,107.90","3,075.00","-0.21%"
"Sep 10, 2018","3,088.30","3,058.00","3,090.75","3,044.65","0.96%"
"Sep 07, 2018","3,059.00","3,085.38","3,094.55","3,051.10","-0.88%"
"Sep 06, 2018","3,086.01","3,097.32","3,106.43","3,077.32","-0.35%"
"Sep 05, 2018","3,097.00","3,091.25","3,114.16","3,083.61","0.19%"
"Sep 04, 2018","3,091.25","3,051.06","3,100.12","3,043.71","1.24%"
"Sep 03, 2018","3,053.50","3,051.50","3,059.00","3,050.65","0.07%"
"Aug 31, 2018","3,051.50","3,034.50","3,082.40","3,033.88","0.63%"
"Aug 30, 2018","3,032.25","2,999.25","3,038.45","2,997.00","1.06%"
"Aug 29, 2018","3,000.50","2,989.75","3,018.15","2,985.30","0.39%"
"Aug 28, 2018","2,988.75","2,940.75","2,991.90","2,930.25","1.59%"
"Aug 27, 2018","2,942.00","2,957.50","2,958.50","2,925.35","-0.52%"
"Aug 24, 2018","2,957.50","2,988.20","2,989.40","2,946.20","-0.99%"
"Aug 23, 2018","2,987.20","2,960.10","2,990.50","2,957.79","0.92%"
"Aug 22, 2018","2,960.00","2,978.20","2,980.15","2,956.60","-0.64%"
"Aug 21, 2018","2,979.00","3,033.20","3,033.80","2,976.73","-1.77%"
"Aug 20, 2018","3,032.68","3,034.62","3,036.62","3,025.27","-0.03%"
"Aug 17, 2018","3,033.50","3,021.65","3,033.50","3,010.15","0.39%"
